question,model,prompt_template,response_time,status,match,sql_query,sql_result
Where is it the hottest?,llama3,few_shot,29.00778722763061,ok,True,"SELECT City, Temperature FROM Weather ORDER BY Temperature DESC","Phoenix, 35, Cairo, 32, Houston, 30, Mumbai, 30, Rio de Janeiro, 29, Bangalore, 28, Tokyo, 26, Los Angeles, 25, Beijing, 24, Buenos Aires, 23, Sydney, 22, New York, 22, Paris, 21, Toronto, 20, Johannesburg, 20, Cape Town, 19, London, 18, Chicago, 18, Warsaw, 16, Moscow, 15"
What is the temperature in Warsaw?,llama3,few_shot,22.16459965705872,ok,True,SELECT Temperature FROM Weather WHERE City = 'Warsaw',16
Which cities have tropical climate?,llama3,few_shot,10.683478116989136,ok,True,SELECT City FROM Weather WHERE Climate LIKE '%tropical%',"Houston, Bangalore, Tokyo, Sydney, Rio de Janeiro, Mumbai, Buenos Aires, Johannesburg"
Is it cloudy in Berlin?,llama3,few_shot,39.91878437995911,ok,False,SELECT Weather FROM Weather WHERE City = 'Berlin' AND Weather LIKE '%cloudy%',
What's the temperature in Fort Worth?,llama3,few_shot,15.552544116973875,ok,False,SELECT Temperature FROM Weather WHERE City = 'Fort Worth',
Where is it the coldest?,llama3,few_shot,33.498621225357056,ok,True,"SELECT City, Temperature FROM Weather ORDER BY Temperature ASC","Moscow, 15, Warsaw, 16, London, 18, Chicago, 18, Cape Town, 19, Toronto, 20, Johannesburg, 20, Paris, 21, New York, 22, Sydney, 22, Buenos Aires, 23, Beijing, 24, Los Angeles, 25, Tokyo, 26, Bangalore, 28, Rio de Janeiro, 29, Mumbai, 30, Houston, 30, Cairo, 32, Phoenix, 35"
Which cities have temperate climate?,llama3,few_shot,36.47101616859436,sql_error,False,,
WHere is it the hotest?,llama3,few_shot,39.573227405548096,no_sql,False,,
Where is the sky clear?,llama3,few_shot,14.930749893188477,ok,True,SELECT City FROM Weather WHERE Weather LIKE '%clear%',"Tokyo, Buenos Aires"
Where is it 20 degrees?,llama3,few_shot,14.771799325942991,ok,True,SELECT City FROM Weather WHERE Temperature = 20,"Toronto, Johannesburg"
What is the average temperature in sunny cities?,llama3,few_shot,39.09904670715332,sql_error,False,,
Where is it raining?,llama3,rag_style,62.10073947906494,sql_error,False,,
Where is it the hottest?,llama3,rag_style,38.01206278800965,sql_error,False,,
What is the temperature in Warsaw?,llama3,rag_style,42.91808319091797,sql_error,False,,
Which cities have tropical climate?,llama3,rag_style,31.30865907669068,sql_error,False,,
Is it cloudy in Berlin?,llama3,rag_style,40.51606917381287,sql_error,False,,
What's the temperature in Fort Worth?,llama3,rag_style,46.34129691123962,sql_error,False,,
Where is it the coldest?,llama3,rag_style,43.12641835212708,sql_error,False,,
Which cities have temperate climate?,llama3,rag_style,41.246665477752686,sql_error,False,,
WHere is it the hotest?,llama3,rag_style,44.24715399742127,no_sql,False,,
Where is the sky clear?,llama3,rag_style,41.5349109172821,sql_error,False,,
Where is it 20 degrees?,llama3,rag_style,30.76122045516968,sql_error,False,,
What is the average temperature in sunny cities?,llama3,rag_style,44.36426258087158,sql_error,False,,
Where is it raining?,llama3,conversational,23.06946277618408,sql_error,False,,
Where is it the hottest?,llama3,conversational,11.047083377838137,sql_error,False,,
What is the temperature in Warsaw?,llama3,conversational,11.901017904281616,ok,True,SELECT Temperature FROM Weather WHERE City = 'Warsaw',16
Which cities have tropical climate?,llama3,conversational,12.055698871612549,sql_error,False,,
Is it cloudy in Berlin?,llama3,conversational,15.919497728347778,ok,False,SELECT * FROM Weather WHERE City = 'Berlin' AND Weather = 'cloudy',
What's the temperature in Fort Worth?,llama3,conversational,11.940893650054932,ok,False,SELECT Temperature FROM Weather WHERE City = 'Fort Worth',
Where is it the coldest?,llama3,conversational,12.736657619476318,sql_error,False,,
Which cities have temperate climate?,llama3,conversational,13.65563178062439,sql_error,False,,
WHere is it the hotest?,llama3,conversational,11.118652820587158,ok,False,SELECT * FROM Weather WHERE Weather = 'honest',
Where is the sky clear?,llama3,conversational,10.949971199035645,sql_error,False,,
Where is it 20 degrees?,llama3,conversational,11.962856769561768,sql_error,False,,
What is the average temperature in sunny cities?,llama3,conversational,17.927839517593384,sql_error,False,,
Where is it raining?,llama3,default,61.667696714401245,sql_error,False,,
Where is it the hottest?,llama3,default,13.402715921401978,ok,True,"SELECT City, MAX(Temperature) FROM Weather GROUP BY City","Bangalore, 28, Beijing, 24, Buenos Aires, 23, Cairo, 32, Cape Town, 19, Chicago, 18, Houston, 30, Johannesburg, 20, London, 18, Los Angeles, 25, Moscow, 15, Mumbai, 30, New York, 22, Paris, 21, Phoenix, 35, Rio de Janeiro, 29, Sydney, 22, Tokyo, 26, Toronto, 20, Warsaw, 16"
What is the temperature in Warsaw?,llama3,default,13.070871114730837,ok,True,SELECT Temperature FROM Weather WHERE City LIKE '%Warsaw%',16
Which cities have tropical climate?,llama3,default,13.772136926651,sql_error,False,,
Is it cloudy in Berlin?,llama3,default,16.042598962783813,ok,False,SELECT * FROM Weather WHERE City = 'Berlin' AND Weather LIKE '%cloudy%',
What's the temperature in Fort Worth?,llama3,default,12.738722801208496,ok,False,SELECT Temperature FROM Weather WHERE City LIKE '%Fort Worth%',
Where is it the coldest?,llama3,default,13.569231986999512,ok,True,"SELECT City, MIN(Temperature) FROM Weather GROUP BY City","Bangalore, 28, Beijing, 24, Buenos Aires, 23, Cairo, 32, Cape Town, 19, Chicago, 18, Houston, 30, Johannesburg, 20, London, 18, Los Angeles, 25, Moscow, 15, Mumbai, 30, New York, 22, Paris, 21, Phoenix, 35, Rio de Janeiro, 29, Sydney, 22, Tokyo, 26, Toronto, 20, Warsaw, 16"
Which cities have temperate climate?,llama3,default,12.71941876411438,ok,True,SELECT City FROM Weather WHERE Climate LIKE '%temperate%',"New York, Warsaw, London, Paris"
WHere is it the hotest?,llama3,default,13.380709886550903,sql_error,False,,
Where is the sky clear?,llama3,default,13.527952194213867,sql_error,False,,
Where is it 20 degrees?,llama3,default,12.24225115776062,sql_error,False,,
What is the average temperature in sunny cities?,llama3,default,14.903959512710571,sql_error,False,,
Where is it raining?,llama3,schema_only,49.428884744644165,sql_error,False,,
Where is it the hottest?,llama3,schema_only,39.528263092041016,sql_error,False,,
What is the temperature in Warsaw?,llama3,schema_only,39.57166123390198,sql_error,False,,
Which cities have tropical climate?,llama3,schema_only,39.17642259597778,sql_error,False,,
Is it cloudy in Berlin?,llama3,schema_only,44.1323082447052,sql_error,False,,
What's the temperature in Fort Worth?,llama3,schema_only,40.124021768569946,sql_error,False,,
Where is it the coldest?,llama3,schema_only,43.91437602043152,sql_error,False,,
Which cities have temperate climate?,llama3,schema_only,39.9712188243866,sql_error,False,,
WHere is it the hotest?,llama3,schema_only,44.96712017059326,no_sql,False,,
Where is the sky clear?,llama3,schema_only,45.96376395225525,sql_error,False,,
Where is it 20 degrees?,llama3,schema_only,39.27474117279053,sql_error,False,,
What is the average temperature in sunny cities?,llama3,schema_only,44.35118126869202,sql_error,False,,
Where is it raining?,llama3,instructional,56.54207611083984,sql_error,False,,
Where is it the hottest?,llama3,instructional,43.25890302658081,sql_error,False,,
What is the temperature in Warsaw?,llama3,instructional,49.627575397491455,sql_error,False,,
Which cities have tropical climate?,llama3,instructional,43.53175067901611,sql_error,False,,
Is it cloudy in Berlin?,llama3,instructional,45.88770079612732,ok,False,SELECT 1 AS is_cloudy,1
What's the temperature in Fort Worth?,llama3,instructional,47.23040246963501,sql_error,False,,
Where is it the coldest?,llama3,instructional,49.573132038116455,sql_error,False,,
Which cities have temperate climate?,llama3,instructional,45.63198208808899,sql_error,False,,
WHere is it the hotest?,llama3,instructional,45.210729122161865,no_sql,False,,
Where is the sky clear?,llama3,instructional,43.46624422073364,sql_error,False,,
Where is it 20 degrees?,llama3,instructional,30.40196776390076,sql_error,False,,
What is the average temperature in sunny cities?,llama3,instructional,39.85224008560181,sql_error,False,,
Where is it raining?,llama3,few_shot,43.68698525428772,sql_error,False,,
Where is it the hottest?,llama3,few_shot,26.348917961120605,sql_error,False,,
What is the temperature in Warsaw?,llama3,few_shot,17.87250828742981,ok,True,SELECT Temperature FROM Weather WHERE City = 'Warsaw',16
Which cities have tropical climate?,llama3,few_shot,10.4709153175354,ok,True,SELECT City FROM Weather WHERE Climate LIKE '%tropical%',"Houston, Bangalore, Tokyo, Sydney, Rio de Janeiro, Mumbai, Buenos Aires, Johannesburg"
Is it cloudy in Berlin?,llama3,few_shot,39.47087740898132,ok,False,SELECT Weather FROM Weather WHERE City = 'Berlin' AND Weather LIKE '%cloudy%',
What's the temperature in Fort Worth?,llama3,few_shot,14.42618989944458,ok,False,SELECT Temperature FROM Weather WHERE City = 'Fort Worth',
Where is it the coldest?,llama3,few_shot,29.511869430541992,ok,True,"SELECT City, Temperature FROM Weather ORDER BY Temperature ASC","Moscow, 15, Warsaw, 16, London, 18, Chicago, 18, Cape Town, 19, Toronto, 20, Johannesburg, 20, Paris, 21, New York, 22, Sydney, 22, Buenos Aires, 23, Beijing, 24, Los Angeles, 25, Tokyo, 26, Bangalore, 28, Rio de Janeiro, 29, Mumbai, 30, Houston, 30, Cairo, 32, Phoenix, 35"
Which cities have temperate climate?,llama3,few_shot,30.0535192489624,sql_error,False,,
WHere is it the hotest?,llama3,few_shot,37.75248003005981,no_sql,False,,
Where is the sky clear?,llama3,few_shot,24.1131649017334,ok,True,SELECT City FROM Weather WHERE Weather LIKE '%clear%',"Tokyo, Buenos Aires"
Where is it 20 degrees?,llama3,few_shot,14.677372932434082,ok,True,SELECT City FROM Weather WHERE Temperature = 20,"Toronto, Johannesburg"
What is the average temperature in sunny cities?,llama3,few_shot,38.2443265914917,sql_error,False,,
Where is it raining?,llama3,rag_style,66.23866438865662,sql_error,False,,
Where is it the hottest?,llama3,rag_style,35.20534038543701,sql_error,False,,
What is the temperature in Warsaw?,llama3,rag_style,36.87156271934509,sql_error,False,,
Which cities have tropical climate?,llama3,rag_style,25.350078582763672,sql_error,False,,
Is it cloudy in Berlin?,llama3,rag_style,39.45661425590515,sql_error,False,,
What's the temperature in Fort Worth?,llama3,rag_style,40.710848331451416,sql_error,False,,
Where is it the coldest?,llama3,rag_style,38.053152322769165,no_sql,False,,
Which cities have temperate climate?,llama3,rag_style,37.24811100959778,sql_error,False,,
WHere is it the hotest?,llama3,rag_style,37.22609305381775,no_sql,False,,
Where is the sky clear?,llama3,rag_style,40.22205328941345,sql_error,False,,
Where is it 20 degrees?,llama3,rag_style,26.51228904724121,sql_error,False,,
What is the average temperature in sunny cities?,llama3,rag_style,37.42843413352966,sql_error,False,,
Where is it raining?,llama3,conversational,22.08969140052796,sql_error,False,,
Where is it the hottest?,llama3,conversational,11.596384525299072,sql_error,False,,
What is the temperature in Warsaw?,llama3,conversational,12.05501675605774,ok,True,SELECT Temperature FROM Weather WHERE City = 'Warsaw',16
Which cities have tropical climate?,llama3,conversational,11.547042608261108,sql_error,False,,
Is it cloudy in Berlin?,llama3,conversational,14.614294528961182,ok,False,SELECT * FROM Weather WHERE City = 'Berlin' AND Weather = 'cloudy',
What's the temperature in Fort Worth?,llama3,conversational,11.985920906066896,ok,False,SELECT Temperature FROM Weather WHERE City = 'Fort Worth',
Where is it the coldest?,llama3,conversational,12.318498134613035,sql_error,False,,
Which cities have temperate climate?,llama3,conversational,11.60532832145691,sql_error,False,,
WHere is it the hotest?,llama3,conversational,11.861919403076172,ok,False,SELECT * FROM Weather WHERE Weather = 'honest',
Where is the sky clear?,llama3,conversational,10.181754350662231,sql_error,False,,
Where is it 20 degrees?,llama3,conversational,9.5478253364563,sql_error,False,,
What is the average temperature in sunny cities?,llama3,conversational,13.858389139175417,sql_error,False,,
Where is it raining?,llama3,default,56.344483613967896,sql_error,False,,
Where is it the hottest?,llama3,default,10.591455221176147,ok,True,"SELECT City, MAX(Temperature) FROM Weather GROUP BY City","Bangalore, 28, Beijing, 24, Buenos Aires, 23, Cairo, 32, Cape Town, 19, Chicago, 18, Houston, 30, Johannesburg, 20, London, 18, Los Angeles, 25, Moscow, 15, Mumbai, 30, New York, 22, Paris, 21, Phoenix, 35, Rio de Janeiro, 29, Sydney, 22, Tokyo, 26, Toronto, 20, Warsaw, 16"
What is the temperature in Warsaw?,llama3,default,11.05809235572815,ok,True,SELECT Temperature FROM Weather WHERE City LIKE '%Warsaw%',16
Which cities have tropical climate?,llama3,default,10.6856427192688,ok,True,SELECT City FROM Weather WHERE Climate LIKE '%tropical%',"Houston, Bangalore, Tokyo, Sydney, Rio de Janeiro, Mumbai, Buenos Aires, Johannesburg"
Is it cloudy in Berlin?,llama3,default,13.49043083190918,ok,False,SELECT * FROM Weather WHERE City LIKE '%Berlin%' AND Weather = 'cloudy',
What's the temperature in Fort Worth?,llama3,default,12.317479133605955,sql_error,False,,
Where is it the coldest?,llama3,default,11.565229177474976,ok,True,"SELECT City, MIN(Temperature) FROM Weather GROUP BY City","Bangalore, 28, Beijing, 24, Buenos Aires, 23, Cairo, 32, Cape Town, 19, Chicago, 18, Houston, 30, Johannesburg, 20, London, 18, Los Angeles, 25, Moscow, 15, Mumbai, 30, New York, 22, Paris, 21, Phoenix, 35, Rio de Janeiro, 29, Sydney, 22, Tokyo, 26, Toronto, 20, Warsaw, 16"
Which cities have temperate climate?,llama3,default,10.814542055130005,ok,True,SELECT City FROM Weather WHERE Climate LIKE '%temperate%',"New York, Warsaw, London, Paris"
WHere is it the hotest?,llama3,default,11.743777990341188,sql_error,False,,
Where is the sky clear?,llama3,default,12.593949556350708,sql_error,False,,
Where is it 20 degrees?,llama3,default,10.233602523803713,sql_error,False,,
What is the average temperature in sunny cities?,llama3,default,14.06559920310974,sql_error,False,,
Where is it raining?,llama3,schema_only,46.68592715263367,sql_error,False,,
Where is it the hottest?,llama3,schema_only,38.96945786476135,sql_error,False,,
What is the temperature in Warsaw?,llama3,schema_only,34.59730052947998,sql_error,False,,
Which cities have tropical climate?,llama3,schema_only,34.82153367996216,sql_error,False,,
Is it cloudy in Berlin?,llama3,schema_only,38.52458620071411,sql_error,False,,
What's the temperature in Fort Worth?,llama3,schema_only,25.757902145385746,sql_error,False,,
Where is it the coldest?,llama3,schema_only,37.3773250579834,sql_error,False,,
Which cities have temperate climate?,llama3,schema_only,34.90634369850159,sql_error,False,,
WHere is it the hotest?,llama3,schema_only,37.37795877456665,sql_error,False,,
Where is the sky clear?,llama3,schema_only,39.20667386054993,sql_error,False,,
Where is it 20 degrees?,llama3,schema_only,27.77021861076355,sql_error,False,,
What is the average temperature in sunny cities?,llama3,schema_only,38.08092427253723,sql_error,False,,
Where is it raining?,llama3,instructional,50.35020041465759,sql_error,False,,
Where is it the hottest?,llama3,instructional,37.08302044868469,sql_error,False,,
What is the temperature in Warsaw?,llama3,instructional,38.03788018226624,sql_error,False,,
Which cities have tropical climate?,llama3,instructional,38.24460172653198,sql_error,False,,
Is it cloudy in Berlin?,llama3,instructional,42.42804169654846,ok,False,SELECT 1 AS is_cloudy,1
What's the temperature in Fort Worth?,llama3,instructional,43.738585233688354,sql_error,False,,
Where is it the coldest?,llama3,instructional,42.32123589515686,sql_error,False,,
Which cities have temperate climate?,llama3,instructional,39.72114610671997,sql_error,False,,
WHere is it the hotest?,llama3,instructional,38.18734908103943,no_sql,False,,
Where is the sky clear?,llama3,instructional,37.247759103775024,sql_error,False,,
Where is it 20 degrees?,llama3,instructional,37.95966482162476,sql_error,False,,
What is the average temperature in sunny cities?,llama3,instructional,42.253937005996704,sql_error,False,,
Where is it raining?,llama3,few_shot,46.938642740249634,sql_error,False,,
Where is it the hottest?,llama3,few_shot,30.56096887588501,ok,True,"SELECT City, Temperature FROM Weather ORDER BY Temperature DESC","Phoenix, 35, Cairo, 32, Houston, 30, Mumbai, 30, Rio de Janeiro, 29, Bangalore, 28, Tokyo, 26, Los Angeles, 25, Beijing, 24, Buenos Aires, 23, Sydney, 22, New York, 22, Paris, 21, Toronto, 20, Johannesburg, 20, Cape Town, 19, London, 18, Chicago, 18, Warsaw, 16, Moscow, 15"
What is the temperature in Warsaw?,llama3,few_shot,18.768999099731445,ok,True,SELECT Temperature FROM Weather WHERE City = 'Warsaw',16
Which cities have tropical climate?,llama3,few_shot,10.596970081329346,ok,True,SELECT City FROM Weather WHERE Climate LIKE '%tropical%',"Houston, Bangalore, Tokyo, Sydney, Rio de Janeiro, Mumbai, Buenos Aires, Johannesburg"
Is it cloudy in Berlin?,llama3,few_shot,41.84909629821777,ok,False,SELECT * FROM Weather WHERE City = 'Berlin' AND Weather LIKE '%cloudy%',
What's the temperature in Fort Worth?,llama3,few_shot,14.20727515220642,ok,False,SELECT Temperature FROM Weather WHERE City = 'Fort Worth',
Where is it the coldest?,llama3,few_shot,32.870211362838745,ok,True,"SELECT City, Temperature FROM Weather ORDER BY Temperature ASC","Moscow, 15, Warsaw, 16, London, 18, Chicago, 18, Cape Town, 19, Toronto, 20, Johannesburg, 20, Paris, 21, New York, 22, Sydney, 22, Buenos Aires, 23, Beijing, 24, Los Angeles, 25, Tokyo, 26, Bangalore, 28, Rio de Janeiro, 29, Mumbai, 30, Houston, 30, Cairo, 32, Phoenix, 35"
Which cities have temperate climate?,llama3,few_shot,33.64852571487427,sql_error,False,,
WHere is it the hotest?,llama3,few_shot,40.72979497909546,no_sql,False,,
Where is the sky clear?,llama3,few_shot,16.359642505645752,ok,True,SELECT City FROM Weather WHERE Weather LIKE '%clear%',"Tokyo, Buenos Aires"
Where is it 20 degrees?,llama3,few_shot,20.06288385391236,ok,True,SELECT City FROM Weather WHERE Temperature = 20,"Toronto, Johannesburg"
What is the average temperature in sunny cities?,llama3,few_shot,40.3161609172821,sql_error,False,,
Where is it raining?,llama3,rag_style,53.13488483428955,sql_error,False,,
Where is it the hottest?,llama3,rag_style,39.34817028045654,sql_error,False,,
What is the temperature in Warsaw?,llama3,rag_style,40.70603704452515,sql_error,False,,
Which cities have tropical climate?,llama3,rag_style,28.30950355529785,sql_error,False,,
Is it cloudy in Berlin?,llama3,rag_style,46.0507128238678,sql_error,False,,
What's the temperature in Fort Worth?,llama3,rag_style,45.31068539619446,sql_error,False,,
Where is it the coldest?,llama3,rag_style,38.82923865318298,sql_error,False,,
Which cities have temperate climate?,llama3,rag_style,41.24176549911499,sql_error,False,,
WHere is it the hotest?,llama3,rag_style,40.24332666397095,no_sql,False,,
Where is the sky clear?,llama3,rag_style,40.14742183685303,sql_error,False,,
Where is it 20 degrees?,llama3,rag_style,29.56591010093689,sql_error,False,,
What is the average temperature in sunny cities?,llama3,rag_style,38.5743522644043,sql_error,False,,
Where is it raining?,llama3,conversational,19.64401912689209,sql_error,False,,
Where is it the hottest?,llama3,conversational,10.621432542800903,sql_error,False,,
What is the temperature in Warsaw?,llama3,conversational,11.539167881011965,ok,True,SELECT Temperature FROM Weather WHERE City = 'Warsaw',16
Which cities have tropical climate?,llama3,conversational,12.48777723312378,sql_error,False,,
Is it cloudy in Berlin?,llama3,conversational,14.28768825531006,ok,False,SELECT * FROM Weather WHERE City = 'Berlin' AND Weather = 'cloudy',
What's the temperature in Fort Worth?,llama3,conversational,11.814324617385864,ok,False,SELECT Temperature FROM Weather WHERE City = 'Fort Worth',
Where is it the coldest?,llama3,conversational,12.988199472427368,sql_error,False,,
Which cities have temperate climate?,llama3,conversational,11.283710479736328,sql_error,False,,
WHere is it the hotest?,llama3,conversational,10.488909006118774,ok,False,SELECT * FROM Weather WHERE Weather = 'honest',
Where is the sky clear?,llama3,conversational,9.83803415298462,sql_error,False,,
Where is it 20 degrees?,llama3,conversational,9.47096562385559,sql_error,False,,
What is the average temperature in sunny cities?,llama3,conversational,14.182998657226562,sql_error,False,,
Where is it raining?,llama3,default,58.37880611419678,sql_error,False,,
Where is it the hottest?,llama3,default,11.354482412338257,ok,True,"SELECT City, MAX(Temperature) FROM Weather GROUP BY City","Bangalore, 28, Beijing, 24, Buenos Aires, 23, Cairo, 32, Cape Town, 19, Chicago, 18, Houston, 30, Johannesburg, 20, London, 18, Los Angeles, 25, Moscow, 15, Mumbai, 30, New York, 22, Paris, 21, Phoenix, 35, Rio de Janeiro, 29, Sydney, 22, Tokyo, 26, Toronto, 20, Warsaw, 16"
What is the temperature in Warsaw?,llama3,default,12.719738245010376,ok,True,SELECT Temperature FROM Weather WHERE City LIKE '%Warsaw%',16
Which cities have tropical climate?,llama3,default,10.793295621871948,ok,True,SELECT City FROM Weather WHERE Climate LIKE '%tropical%',"Houston, Bangalore, Tokyo, Sydney, Rio de Janeiro, Mumbai, Buenos Aires, Johannesburg"
Is it cloudy in Berlin?,llama3,default,15.829849481582642,ok,False,SELECT * FROM Weather WHERE City LIKE '%Berlin%' AND Weather = 'cloudy',
What's the temperature in Fort Worth?,llama3,default,12.11060380935669,sql_error,False,,
Where is it the coldest?,llama3,default,11.025777101516724,ok,True,"SELECT City, MIN(Temperature) FROM Weather GROUP BY City","Bangalore, 28, Beijing, 24, Buenos Aires, 23, Cairo, 32, Cape Town, 19, Chicago, 18, Houston, 30, Johannesburg, 20, London, 18, Los Angeles, 25, Moscow, 15, Mumbai, 30, New York, 22, Paris, 21, Phoenix, 35, Rio de Janeiro, 29, Sydney, 22, Tokyo, 26, Toronto, 20, Warsaw, 16"
Which cities have temperate climate?,llama3,default,10.593276500701904,ok,True,SELECT City FROM Weather WHERE Climate LIKE '%temperate%',"New York, Warsaw, London, Paris"
WHere is it the hotest?,llama3,default,12.180074453353882,sql_error,False,,
Where is the sky clear?,llama3,default,11.931195974349976,sql_error,False,,
Where is it 20 degrees?,llama3,default,10.203006744384766,sql_error,False,,
What is the average temperature in sunny cities?,llama3,default,14.184428215026855,sql_error,False,,
Where is it raining?,llama3,schema_only,46.84292435646057,sql_error,False,,
Where is it the hottest?,llama3,schema_only,39.78484725952149,sql_error,False,,
What is the temperature in Warsaw?,llama3,schema_only,36.17959308624268,sql_error,False,,
Which cities have tropical climate?,llama3,schema_only,38.04465842247009,sql_error,False,,
Is it cloudy in Berlin?,llama3,schema_only,47.393678188323975,sql_error,False,,
What's the temperature in Fort Worth?,llama3,schema_only,30.84629774093628,sql_error,False,,
Where is it the coldest?,llama3,schema_only,42.70174884796143,sql_error,False,,
Which cities have temperate climate?,llama3,schema_only,37.87035799026489,sql_error,False,,
WHere is it the hotest?,llama3,schema_only,42.67773509025574,sql_error,False,,
Where is the sky clear?,llama3,schema_only,41.61470437049866,sql_error,False,,
Where is it 20 degrees?,llama3,schema_only,31.324389696121216,sql_error,False,,
What is the average temperature in sunny cities?,llama3,schema_only,40.96488761901856,sql_error,False,,
Where is it raining?,llama3,instructional,53.94820189476013,sql_error,False,,
Where is it the hottest?,llama3,instructional,39.205477237701416,sql_error,False,,
What is the temperature in Warsaw?,llama3,instructional,41.480746030807495,sql_error,False,,
Which cities have tropical climate?,llama3,instructional,35.98220992088318,sql_error,False,,
Is it cloudy in Berlin?,llama3,instructional,37.091859579086304,ok,False,SELECT 1 AS is_cloudy,1
What's the temperature in Fort Worth?,llama3,instructional,41.51667833328247,sql_error,False,,
Where is it the coldest?,llama3,instructional,39.04444217681885,sql_error,False,,
Which cities have temperate climate?,llama3,instructional,41.11817717552185,sql_error,False,,
WHere is it the hotest?,llama3,instructional,38.11788058280945,no_sql,False,,
Where is the sky clear?,llama3,instructional,37.3772177696228,sql_error,False,,
Where is it 20 degrees?,llama3,instructional,39.44033908843994,sql_error,False,,
What is the average temperature in sunny cities?,llama3,instructional,41.65616178512573,sql_error,False,,
Where is it raining?,llama3,few_shot,45.8701913356781,sql_error,False,,
